Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
L_LED505,-26.6312,57.6388,BottomLayer,90
L_LED506,-21.6312,57.6388,BottomLayer,90
L_LED507,-16.6312,57.6388,BottomLayer,90
L_LED508,-11.6312,57.6388,BottomLayer,90
L_LED509,-6.6312,57.6388,BottomLayer,90
L_LED510,-6.6388,62.6312,BottomLayer,-90
L_LED511,-11.6388,62.6312,BottomLayer,-90
L_LED512,-16.6388,62.6312,BottomLayer,-90
L_LED513,-21.6388,62.6312,BottomLayer,-90
L_LED514,-26.6388,62.6312,BottomLayer,-90
L_LED515,-31.6388,62.6312,BottomLayer,-90
L_LED516,-36.6388,62.6312,BottomLayer,-90
L_LED517,-41.6388,62.6312,BottomLayer,-90
L_LED518,-46.6388,62.6312,BottomLayer,-90
